Player 1,,,Player 2,Venue name,Court number,Date,Year,League Name,,,
gary_the_man@yahoo.co.uk,1,3,srrogers@yahoo.co.uk,Waterstone Crook Sports Centre,2,09/11/2018,2018,Oldies cup,,,
tasha.marsden@gmail.com,3,1,u_marsden@gmail.com,Waterstone Crook Sports Centre,2,27/09/2019,2019,Oldies cup,,,
srrogers@yahoo.co.uk,3,2,u_marsden@gmail.com,Waterstone Crook Sports Centre,2,29/09/2019,2019,Oldies cup,,,
gary_the_man@yahoo.co.uk,2,3,tasha.marsden@gmail.com,Waterstone Crook Sports Centre,4,29/09/2019,2019,Oldies cup,,,
srrogers@yahoo.co.uk,3,0,tasha.marsden@gmail.com,Forthill Squash Club,1,02/10/2019,2019,Oldies cup,,,
gary_the_man@yahoo.co.uk,0,3,srrogers@yahoo.co.uk,Waterstone Crook Sports Centre,1,09/10/2019,2019,Oldies cup,,,
gary_the_man@yahoo.co.uk,3,1,u_marsden@gmail.com,University Sports Centre,3,30/10/2019,2019,Oldies cup,,,
tasha.marsden@gmail.com,2,3,u_marsden@gmail.com,Waterstone Crook Sports Centre,1,02/10/2020,2020,Oldies cup,,,
gary_the_man@yahoo.co.uk,3,0,tasha.marsden@gmail.com,Waterstone Crook Sports Centre,2,09/10/2020,2020,Oldies cup,,,
gary_the_man@yahoo.co.uk,1,3,u_marsden@gmail.com,Forthill Squash Club,1,05/11/2020,2020,Oldies cup,,,
